country_name,code,cost,gdp,voice,politicalstability,govteffectiveness,regulatory,ruleoflaw,corruption,popn2004,migrants,migprop,flowuscanz,region,restrict,commonwealth,language
Portugal,PRT,59,14350,1.31,1.06,0.92,1.14,1.16,1.23,10400000,1657700,0.137480614,1442,Europe,no,no,Other
Republic of Congo,COG,65.66,770,-0.79,-1.41,-1.17,-1.16,-1.18,-1.02,3854510,80259,0.020397385,803,Africa,no,no,French
Republic of Korea,KOR,44.26,13980,0.73,0.45,0.95,0.69,0.67,0.17,48100000,894862,0.018264405,26885,Asia,no,no,Other
Romania,ROM,30.66,2920,0.36,0.22,-0.15,-0.06,-0.18,-0.25,21900000,802851,0.035363444,10603,Europe,no,no,Other
Russian Federation,RUS,13.99,3410,-0.81,-0.85,-0.21,-0.51,-0.7,-0.72,143000000,5289204,0.035668166,17442,Europe,no,no,Other
Rwanda,RWA,91.2,220,-1.09,-0.92,-0.56,-0.42,-0.9,-0.36,8411983,19378,0.002298324,463,Africa,no,yes,English
Saudi Arabia,SAU,79.99,10430,-1.63,-0.6,-0.06,-0.34,0.2,0.15,23200000,64648,0.002778808,3074,Asia,yes,no,Arabic
Senegal,SEN,27.51,670,0.19,-0.21,-0.13,-0.31,-0.2,-0.4,10500000,111836,0.010538798,978,Africa,no,no,French
Seychelles,SYC,88.69,8090,-0.04,0.84,-0.31,-1.21,-0.17,0.01,84697,8039,0.086687248,81,Africa,no,yes,English
Singapore,SGP,35.44,24220,-0.13,1.48,2.25,1.87,1.82,2.44,4335000,182971,0.040498489,3745,Asia,yes,yes,English
Slovakia,SVK,30.76,6480,1.1,0.65,0.67,1.15,0.49,0.39,5390300,428585,0.073654145,1437,Europe,no,no,Other
Slovenia,SVN,45.97,14810,1.12,0.99,1.02,0.89,0.93,0.97,1995000,88466,0.042460976,126,Europe,no,no,Other
South Africa,ZAF,23.57,3630,0.86,-0.24,0.74,0.44,0.32,0.48,45600000,405654,0.008817481,11874,Africa,no,yes,English
Spain,ESP,19.58,21210,1.17,0.54,1.29,1.13,1.12,1.45,41300000,1126848,0.026559786,1609,Europe,no,no,Spanish
Sri Lanka,LKA,24.58,1010,-0.16,-1.06,-0.27,0.21,-0.03,-0.16,19400000,589004,0.029466401,7277,Asia,no,yes,Other
St. Kitts and Nevis,KNA,11.11,7600,0.75,1.41,-0.16,0.44,0.71,0.34,46985,29430,0.385134766,309,NoAm,no,yes,English
St. Lucia,LCA,22.22,4310,0.97,1.41,0.19,0.46,0.75,0.29,163651,34186,0.172798994,729,NoAm,no,yes,English
St. Vincent and the Grenadines,VCT,22.22,3650,0.96,1.31,0.23,0.48,0.76,0.34,108294,49270,0.312698332,691,NoAm,no,yes,English
