Location,Population,PopulationType,Market,PotentialRevenue,PresentRevenue,Vehicles,Distribution
S. Annavaram (R),19719.7,UFTP,Rural Villages,184051,0,0,Indirect
Sidhantham,19715.8,UFTP,Rural Villages,184014,0,0,Indirect
Rapur,19665.1,UFTP,Rural Villages,183541,353980.44,0,Indirect
Ryali,19618.3,UFTP,Rural Villages,183104,0,0,Indirect
K.Rajupalem,19593.6,UFTP,Rural Villages,182874,0,0,Indirect
Dubacherla,19585.8,UFTP,Rural Villages,182801,0,0,Indirect
Pedavadlapudi,19548.1,UFTP,Rural Villages,182449,0,0,Indirect
Kalikiri,19532.5,UFTP,Rural Villages,182303,0,0,Indirect
Pulla,19498.7,UFTP,Rural Villages,181988,0,0,Indirect
Pedakurapadu,19455.8,UFTP,Rural Villages,181587,0,0,Indirect
Dommeru,19435,UFTP,Rural Villages,181393,0,0,Indirect
Kollipara,19407.7,UFTP,Rural Villages,181139,0,0,Indirect
Uppada,19381.7,UFTP,Rural Villages,180896,0,0,Indirect
N.Mydukur,19371.3,UFTP,Rural Villages,180799,0,0,Indirect
Peddapalle,19353.1,UFTP,Rural Villages,180629,0,0,Indirect
Lakshmipuram,19323.2,UFTP,Rural Villages,180350,0,0,Indirect
Pentapadu,19268.6,UFTP,Rural Villages,179840,0,0,Indirect
Tadpatri (R),19164.6,UFTP,Rural Villages,178870,0,0,Indirect
Venkatagirikota,19139.9,UFTP,Rural Villages,178639,1420628.33,1,Indirect
Peda Boddepalle (CT),19107.4,UFTP,Rural Villages,178336,0,0,Indirect
Jami,19034.6,UFTP,Rural Villages,177656,0,0,Indirect
Duvvur,19026.8,UFTP,Rural Villages,177583,0,0,Indirect
Madugula,18993,UFTP,Rural Villages,177268,0,0,Indirect
Bathalapalle,18982.6,UFTP,Rural Villages,177171,0,0,Indirect
Kodigenahalli,18933.2,UFTP,Rural Villages,176710,0,0,Indirect
Ponduru (CT),18896.8,UFTP,Rural Villages,176370,0,0,Indirect
Jonnada,18879.9,UFTP,Rural Villages,176212,0,0,Indirect
Parigi,18857.8,UFTP,Rural Villages,176006,0,0,Indirect
Kandikuppa,18814.9,UFTP,Rural Villages,175606,0,0,Indirect
Karedu,18796.7,UFTP,Rural Villages,175436,0,0,Indirect
Vipparla,18764.2,UFTP,Rural Villages,175133,0,0,Indirect
Hissara Murvari,18687.5,UFTP,Rural Villages,174417,0,0,Indirect
Koringa,18679.7,UFTP,Rural Villages,174344,0,0,Indirect
Perupalem,18636.8,UFTP,Rural Villages,173943,0,0,Indirect
Pallamkurru,18571.8,UFTP,Rural Villages,173337,0,0,Indirect
Ananthapalle,18556.2,UFTP,Rural Villages,173191,0,0,Indirect
Gangavaram,18538,UFTP,Rural Villages,173021,0,0,Indirect
Buttayagudem,18528.9,UFTP,Rural Villages,172936,0,0,Indirect
Thummalamenta (CT),18497.7,UFTP,Rural Villages,172645,0,0,Indirect
Nagireddipalle (CT),18415.8,UFTP,Rural Villages,171881,0,0,Indirect
Yernagudem,18354.7,UFTP,Rural Villages,171311,0,0,Indirect
Singupuram,18348.2,UFTP,Rural Villages,171250,0,0,Indirect
Chamarru,18287.1,UFTP,Rural Villages,170680,0,0,Indirect
Polakal,18250.7,UFTP,Rural Villages,170340,0,0,Indirect
Sabbavaram,18239,UFTP,Rural Villages,170231,0,1,Indirect
Bukkapatnam,18232.5,UFTP,Rural Villages,170170,0,0,Indirect
Kajuluru,18115.5,UFTP,Rural Villages,169078,0,0,Indirect
Gavinivari Palem,18101.2,UFTP,Rural Villages,168945,0,0,Indirect
Pittalavanipalem,17993.3,UFTP,Rural Villages,167937,0,0,Indirect
